PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
580,"Bleicken, Linda ",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,7-10,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
581,"Sullivan, John ",Y,Not available,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
582,"Buchman, Lorne ",Y,Not available,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
583,"Tennent, Timothy C. ",Y,Not available,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
589,"McGaha, Gary ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traditionalist,11-15,Provost,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$0K - $.1K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
591,"Gogue, Jay ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,7-10,Provost,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Land Grant Institution,University Presidents
608,"Carvajal, Richard ",Y,Not available,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$.1K - $1K,Not available,Not a Land Grant Institution,University Presidents
642,"Hensrud, Faith C.",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,0-3,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
687,"Mazey, Mary Ellen ",Y,Female,Not available,Not available,Yes,Yes,Yes,Social Science,Traveler,4-6,Provost,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
708,"Cassidy, Kim ",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Not available,Traditionalist,0-3,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
724,"Armstrong, Jeffrey D. ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Not available,Traditionalist,4-6,Dean,"Public, 4-year or above","20,000 and above",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
736,"Nelsen, Robert S.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,0-3,Not available,"Public, 4-year or above","20,000 and above",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
756,"Suresh, Subra ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traveler,4-6,Dean,"Private not-for-profit, 4-year or above","10,000 - 19,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
765,"Snyder, Barbara R. ",Y,Female,Baby Boomers,60-69,Yes,No,Yes,Law,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","10,000 - 19,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
771,"Tierno, Mark J. ",Y,Not available,Not available,Not available,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
782,"Ross, George E. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,7-10,Not available,"Public, 4-year or above","20,000 and above",$.1K - $1K,$0K - $.1K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
783,"Jackson-Hammond, Cynthia",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,4-6,Provost,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
784,"Gaudino, James L. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,7-10,Dean,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
786,"Roush, John A ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traveler,15+,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
787,"Rhine, Randy ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Dean,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
802,"Mroz, Glenn D.",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,11-15,Dean,"Public, 4-year or above","5,000 - 9,999",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
803,"Drake, Michael V.",Y,Male,Not available,Not available,Yes,No,Yes,Medical,Traditionalist,0-3,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
804,"Dirks, Nicholas B.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traveler,4-6,Dean,"Public, 4-year or above","20,000 and above",$10K - $100K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
805,"Fuchs, W. Kent",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,0-3,Provost,"Public, 4-year or above","20,000 and above",$10K - $100K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
806,"Young, Michael K.",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Law,Traditionalist,0-3,Not available,"Public, 4-year or above","20,000 and above",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
807,"Hunter, Susan J.",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,4-6,Provost,"Public, 4-year or above","10,000 - 19,999",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Land Grant Institution,University Presidents
808,"Sullivan, Teresa A.",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Law,Traditionalist,7-10,Provost,"Public, 4-year or above","20,000 and above",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
809,"Folt, Carol L.",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,Not available,Provost,"Public, 4-year or above","20,000 and above",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
810,"Barron, Eric J.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traveler,Not available,Dean,"Public, 4-year or above","20,000 and above",$10K - $100K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
811,"Leath, Steven",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traveler,4-6,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
812,"Schlissel, Mark",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Science/Math,Traditionalist,0-3,Dean,"Public, 4-year or above","20,000 and above",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
815,"McRobbie, Michael",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Science/Math,Traditionalist,7-10,Provost,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
816,"Simon, Lou Anna",Y,Female,Baby Boomers,70-79,Yes,Yes,Yes,Other Applied,Traditionalist,11-15,Provost,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
817,"Broderick, John R.",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traditionalist,7-10,Not available,"Public, 4-year or above","20,000 and above",$.1K - $1K,$1K - $10K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
818,"Benson, Bruce D.",Y,Male,Silent Generation,70-79,No,No,Yes,Not available,Traveler,7-10,Not available,"Public, 4-year or above","20,000 and above",$10K - $100K,$0K - $.1K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
819,"Theobald, Neil D.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,4-6,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
820,"Hodge, David C.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traditionalist,Not available,Not available,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
821,"Schulz, Kirk",Y,Male,Baby Boomers,50-59,Yes,No,Yes,Science/Math,Traditionalist,0-3,Dean,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
822,"Falk, Adam",Y,Male,Generation X,50-59,Yes,Yes,Yes,Science/Math,Traveler,7-10,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
823,"Hennessy, John L.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traveler,15+,Provost,"Private not-for-profit, 4-year or above","10,000 - 19,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
824,"Eisgruber, Christopher L.",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Law,Traveler,4-6,Provost,"Private not-for-profit, 4-year or above","5,000 - 9,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
825,"Zeppos, Nicholas S.",Y,Male,Not available,Not available,Yes,No,Yes,Social Science,Traveler,7-10,Not available,"Private not-for-profit, 4-year or above","10,000 - 19,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
826,"Fitts, Michael A.",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Law,Traveler,0-3,Dean,"Private not-for-profit, 4-year or above","10,000 - 19,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
827,"Thorsett, Stephen",Y,Male,Generation X,50-59,Yes,Yes,Yes,Science/Math,Traditionalist,4-6,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
828,"Starr, Ken",Y,Male,Baby Boomers,70-79,Yes,Yes,Yes,Law,Traditionalist,7-10,Dean,"Private not-for-profit, 4-year or above","10,000 - 19,999",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
829,"Hamilton, Andrew D.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,0-3,Not available,"Private not-for-profit, 4-year or above","20,000 and above",$10K - $100K,$0K - $.1K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
830,"Zimmer, Robert",Y,Male,Baby Boomers,70-79,Yes,Yes,Yes,Not available,Traveler,Not available,Provost,"Private not-for-profit, 4-year or above","10,000 - 19,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
831,"Paxson, Christina H.",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Not available,Traditionalist,4-6,Dean,"Private not-for-profit, 4-year or above","5,000 - 9,999",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
832,"Patton, Laurie L.",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Religion,Traveler,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
833,"Brown, Robert A. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,11-15,Provost,"Private not-for-profit, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
836,"Knapp, Steven",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
839,"Frederick, Wayne A.I.",Y,Male,Generation X,40-49,Yes,Yes,Yes,Medical,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","10,000 - 19,999",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
840,"Daniels, Ronald J.",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Law,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","20,000 and above",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
841,"Benton, Andrew K.",Y,Male,Baby Boomers,60-69,Yes,No,Yes,Law,Traveler,15+,Not available,"Private not-for-profit, 4-year or above","5,000 - 9,999",$.1K - $1K,$100K+,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
842,"Ramsey, James",Y,Male,Baby Boomers,60-69,No,Yes,Yes,Not available,Traveler,Not available,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
845,Kimberly Johnston,Y,Female,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
847,"Hancock, Ben",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
848,"Thompson, Vinton",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$.1K - $1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
849,"Arthur, Virginia",Y,Female,Not available,Not available,Yes,No,Yes,Law,Traditionalist,Not available,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$.1K - $1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
850,"Jordan, Stephen",Y,Male,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Public, 4-year or above","20,000 and above",$0K - $.1K,$.1K - $1K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
854,"Spittal, David J. ",Y,Male,Silent Generation,70-79,Yes,Yes,Yes,Other Applied,Traveler,Not available,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
855,"Blake, Christopher",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
856,"McPhee, Sidney",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Provost,"Public, 4-year or above","20,000 and above",$.1K - $1K,$1K - $10K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
858,"Horner, Jody",Y,Female,Baby Boomers,50-59,No,Yes,Yes,Not available,Outsider,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
859,"Marsden, John",Y,Male,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
860,"Shipley, Suzanne",Y,Female,Not available,Not available,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Not available,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
861,"French, George",Y,Male,Not available,Not available,Yes,No,Yes,Other Applied,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
862,"Anderson, John",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Provost,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
863,"Greer, Bill",Y,Male,Not available,Not available,Yes,Yes,Yes,Social Science,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above",Not available,$0K - $.1K,$0K - $.1K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
864,"White, Patrick",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
865,"Hillman, Elizabeth",Y,Female,Not available,Not available,Yes,Yes,Yes,Social Science,Traveler,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$100K+,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
866,"Pearigan, Robert",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
867,"Morin, Jeff",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traditionalist,Not available,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
868,"Walz, John",Y,Male,Not available,Not available,Yes,No,Yes,Science/Math,Traditionalist,Not available,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
869,"Coogan, Jay",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
870,"Blackhurst, Anne",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
871,"Davenport, Richard",Y,Male,Not available,Not available,No,No,No,Not available,Traveler,Not available,Provost,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
872,"Shirley, Steven",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
874,"Royce, Lee",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","5,000 - 9,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
875,"Keenum, Mark",Y,Male,Not available,Not available,Yes,Yes,Yes,Social Science,Traditionalist,Not available,Not available,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Land Grant Institution,University Presidents
876,"Borsig, Jim",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,Not available,Not available,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
877,"Bynum, William",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$.1K - $1K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
878,"Marble, Alan",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
879,"Smart, Clif",Y,Male,Not available,Not available,No,No,No,Not available,Traditionalist,Not available,Not available,"Public, 4-year or above","20,000 and above",$.1K - $1K,$0K - $.1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
880,"Schrader, Cheryl",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Science/Math,Traditionalist,Not available,Not available,"Public, 4-year or above","5,000 - 9,999",$1K - $10K,$0K - $.1K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
882,"Vartabedian, Robert",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
883,"Steinmayer, Janet",Y,Female,Baby Boomers,60-69,Yes,No,Yes,Law,Outsider,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
884,"Bogner, Drew",Y,Male,Baby Boomers,60-69,No,No,No,Not available,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
885,"Wyatt, Clarence",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
886,"Cruzado, Waded",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Provost,"Public, 4-year or above","10,000 - 19,999",$1K - $10K,$1K - $10K,Doctoral Universities: Higher Research Activity,Land Grant Institution,University Presidents
887,"Nook, Mark",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Science/Math,Traditionalist,Not available,Provost,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
888,"Blackketter, Donald",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Science/Math,Traditionalist,Not available,Dean,"Public, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
889,"Maurer, Paul",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
890,"Fitzgibbon, Cecelia",Y,Female,Baby Boomers,60-69,No,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
891,"Grigsby, Byron",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
892,"Andrews, Wayne",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
893,"Wilson, John Silvanus",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Other Applied,Traveler,4-6,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
894,"Wilson, David",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,Not available,Not available,"Public, 4-year or above","5,000 - 9,999",$1K - $10K,$1K - $10K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
895,"Reynders, John",Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
896,"Richardson, Luns",Y,Male,Baby Boomers,60-69,No,Yes,Yes,Not available,Traditionalist,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
897,"Foley, Thomas",Y,Male,Baby Boomers,70-79,Yes,No,Yes,Law,Outsider,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
