PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
322," Lambert, Lake",Y,Male,Generation X,50-59,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
323,"McLarty, Bruce D. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traveler,4-6,Not available,"Private not-for-profit, 4-year or above","5,000 - 9,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
324,"Warmack,  Dwaun J. ",Y,Male,Baby Boomers,70-79,Yes,Yes,Yes,Other Applied,Traditionalist,0-3,Not available,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
325,"Hadsell, Heidi ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traveler,15+,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$1K - $10K,$100K+,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
326," Drugovich, Margaret L.",Y,Female,Not available,Not available,Yes,Yes,Yes,Other Applied,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
327,"Faust, Drew Gilpin ",Y,Female,Baby Boomers,70-79,Yes,Yes,Yes,Social Science,Traditionalist,7-10,Dean,"Private not-for-profit, 4-year or above","20,000 and above",$10K - $100K,$100K+,Doctoral Universities: Highest Research Activity,Not a Land Grant Institution,University Presidents
328,"Klawe, Maria ",Y,Female,Baby Boomers,60-69,Yes,No,Yes,Science/Math,Traveler,11-15,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$1K - $10K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
329,"Chenault, Venida ",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traveler,0-3,Not available,"Public, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Tribal Colleges,Land Grant Institution,University Presidents
331,"Benston, Kimberly W. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Arts/Humanities,Traveler,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
332,"Gotanda, John ",Y,Male,Baby Boomers,50-59,Yes,No,Yes,Law,Traveler,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
